,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
65,2948,95,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-92.0,,-1.0,81.385,0.0,0.7516953259999999,1.0,0.571952819,1.0,0.35600478799999996,1.0,0.5556085629999999,True,,5c94ee77c70dc500019c7f0f,,1224339,95,,evan-feature22,,0
66,2949,96,,,,1,1,1.0,1.0,1.0,0.0,,0.0-93.0,,1.0,268.66,1.0,0.7335224459999999,1.0,0.6532418560000001,1.0,0.343718615,1.0,0.494468134,True,,5c94ee77c70dc500019c7f0f,,1234391,96,,evan-feature22,,0
67,2950,97,,,,2,2,0.0,0.0,1.0,0.0,,0.0-94.0,,0.0,394.645,1.0,0.7124817590000001,1.0,0.6390774810000001,0.0,0.339057567,0.0,0.470845749,True,,5c94ee77c70dc500019c7f0f,,1244573,97,,evan-feature22,,1
68,2951,98,,,,1,1,1.0,0.0,1.0,0.0,,0.0-95.0,,1.0,530.49,1.0,0.6784382870000001,0.0,0.619313665,0.0,0.307093978,0.0,0.551459799,True,,5c94ee77c70dc500019c7f0f,,1254894,98,,evan-feature22,,1
69,2952,99,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-96.0,,0.0,498.31,1.0,0.6652083129999999,0.0,0.597460688,1.0,0.35021752799999994,0.0,0.539363545,True,,5c94ee77c70dc500019c7f0f,,1265181,99,,evan-feature22,,1
70,2953,100,,,,2,2,1.0,0.0,1.0,0.0,,0.0-97.0,,1.0,511.615,1.0,0.661769563,0.0,0.6237266220000001,1.0,0.43284700200000004,0.0,0.527128728,True,,5c94ee77c70dc500019c7f0f,,1275480,100,,evan-feature22,,0
71,2954,101,,,,1,1,1.0,1.0,1.0,0.0,,0.0-98.0,,1.0,50.27,1.0,0.655523738,1.0,0.630055609,1.0,0.430599471,0.0,0.516819818,True,,5c94ee77c70dc500019c7f0f,,1285321,101,,evan-feature22,,1
72,2955,102,,,,2,2,1.0,1.0,1.0,0.0,,0.0-99.0,,1.0,387.06,0.0,0.584426545,1.0,0.6294940170000001,1.0,0.482109399,1.0,0.49310232299999995,True,,5c94ee77c70dc500019c7f0f,,1295494,102,,evan-feature22,,1
73,2956,103,,,,2,2,0.0,1.0,1.0,0.0,,0.0-100.0,,0.0,709.855,1.0,0.593661942,0.0,0.598116517,0.0,0.49481257100000003,1.0,0.515932226,True,,5c94ee77c70dc500019c7f0f,,1305993,103,,evan-feature22,,0
74,2957,104,,,,1,1,1.0,1.0,1.0,0.0,,0.0-101.0,,1.0,402.52,1.0,0.592880538,1.0,0.621605935,0.0,0.38945895799999997,1.0,0.561640435,True,,5c94ee77c70dc500019c7f0f,,1316182,104,,evan-feature22,,1
75,2958,105,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-102.0,,-1.0,454.565,1.0,0.601007589,0.0,0.608277141,0.0,0.34376450299999994,1.0,0.470029965,True,,5c94ee77c70dc500019c7f0f,,1326422,105,,evan-feature22,,1
76,2959,106,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-103.0,,-1.0,468.12,0.0,0.646855036,1.0,0.662806372,0.0,0.25660331399999997,0.0,0.519482362,True,,5c94ee77c70dc500019c7f0f,,1336676,106,,evan-feature22,,1
77,2960,107,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-104.0,,0.0,127.58,0.0,0.642867724,1.0,0.632049246,1.0,0.25676069100000004,0.0,0.595191797,True,,5c94ee77c70dc500019c7f0f,,1346594,107,,evan-feature22,,1
78,2961,108,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-105.0,,-1.0,482.885,1.0,0.645698706,1.0,0.606934848,1.0,0.253726265,1.0,0.605564476,True,,5c94ee77c70dc500019c7f0f,,1356865,108,,evan-feature22,,0
79,2962,109,,,,2,2,0.0,0.0,1.0,0.0,,0.0-106.0,,0.0,1193.55,1.0,0.57365172,1.0,0.644616344,0.0,0.235666944,0.0,0.542830548,True,,5c94ee77c70dc500019c7f0f,,1367847,109,,evan-feature22,,0
80,2963,110,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-107.0,,-1.0,532.885,0.0,0.57365172,1.0,0.644616344,0.0,0.235666944,1.0,0.542830548,True,,5c94ee77c70dc500019c7f0f,,1378163,110,,evan-feature22,,0
81,2964,111,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-108.0,,-1.0,246.405,1.0,0.571544656,1.0,0.605228935,1.0,0.254414551,1.0,0.54267317,True,,5c94ee77c70dc500019c7f0f,,1388192,111,,evan-feature22,,1
82,2965,112,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-109.0,,0.0,281.575,0.0,0.594079321,0.0,0.627731245,0.0,0.271045457,1.0,0.498184461,True,,5c94ee77c70dc500019c7f0f,,1398255,112,,evan-feature22,,0
83,2966,113,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-110.0,,-1.0,921.435,0.0,0.581490524,0.0,0.61543522,1.0,0.28679829999999995,1.0,0.47334912100000004,True,,5c94ee77c70dc500019c7f0f,,1408962,113,,evan-feature22,,1
84,2967,114,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-111.0,,-1.0,394.675,0.0,0.508659922,0.0,0.678348122,0.0,0.293557647,1.0,0.436686776,True,,5c94ee77c70dc500019c7f0f,,1419144,114,,evan-feature22,,0
85,2968,115,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-112.0,,-1.0,503.275,1.0,0.548020127,0.0,0.661356152,0.0,0.33939975200000005,1.0,0.43098076,True,,5c94ee77c70dc500019c7f0f,,1429433,115,,evan-feature22,,0
86,2969,116,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-113.0,,-1.0,665.27,1.0,0.502987702,1.0,0.612211104,1.0,0.433915344,0.0,0.42255532700000004,True,,5c94ee77c70dc500019c7f0f,,1439888,116,,evan-feature22,,1
87,2970,117,,,,1,1,1.0,0.0,1.0,0.0,,0.0-114.0,,1.0,387.325,1.0,0.459245451,0.0,0.688192936,0.0,0.45663814700000005,1.0,0.458186455,True,,5c94ee77c70dc500019c7f0f,,1450060,117,,evan-feature22,,0
88,2971,118,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-115.0,,-1.0,435.835,1.0,0.421342325,1.0,0.739800042,0.0,0.42242872299999995,1.0,0.49445062100000003,True,,5c94ee77c70dc500019c7f0f,,1460281,118,,evan-feature22,,1
89,2972,119,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-116.0,,0.0,2512.0,1.0,0.471458304,0.0,0.640586494,0.0,0.412771813,0.0,0.41058669200000003,True,,5c94ee77c70dc500019c7f0f,,1472581,119,,evan-feature22,,1
90,2973,120,,,,2,2,1.0,1.0,1.0,0.0,,0.0-117.0,,1.0,142.445,1.0,0.528101475,1.0,0.657202834,1.0,0.439859203,1.0,0.40676324799999997,True,,5c94ee77c70dc500019c7f0f,,1482511,120,,evan-feature22,,1
91,2974,121,,,,2,2,0.0,1.0,1.0,0.0,,0.0-118.0,,0.0,1008.0,1.0,0.46992311700000006,1.0,0.717492971,0.0,0.46719862100000004,1.0,0.395737313,True,,5c94ee77c70dc500019c7f0f,,1493306,121,,evan-feature22,,0
92,2975,122,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-119.0,,0.0,673.35,1.0,0.543261297,0.0,0.7229893009999999,0.0,0.534165048,0.0,0.44477015,True,,5c94ee77c70dc500019c7f0f,,1503754,122,,evan-feature22,,0
93,2976,123,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-120.0,,0.0,289.11,1.0,0.560921892,1.0,0.77155319,0.0,0.49136644,0.0,0.427878965,True,,5c94ee77c70dc500019c7f0f,,1513826,123,,evan-feature22,,0
94,2977,124,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-121.0,,-1.0,623.495,1.0,0.589437632,1.0,0.7744310520000001,0.0,0.518505645,1.0,0.44518250600000003,True,,5c94ee77c70dc500019c7f0f,,1524240,124,,evan-feature22,,1
95,2978,125,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-122.0,,0.0,564.33,1.0,0.600165861,0.0,0.8,1.0,0.58903051,0.0,0.48487021700000005,True,,5c94ee77c70dc500019c7f0f,,1534594,125,,evan-feature22,,1
96,2979,126,,,,2,2,0.0,1.0,1.0,0.0,,0.0-123.0,,0.0,705.065,0.0,0.541751569,1.0,0.793817715,0.0,0.557327736,1.0,0.555026485,True,,5c94ee77c70dc500019c7f0f,,1545088,126,,evan-feature22,,0
